,senten3,gold_label
0,folks if the road tax were adjusted for inflation from early 1990 s it would be around 2x more than today 45 cent gal would be 90 cents gal if tax were weight x distance it would be 2 cent mile for a buick at 4000 lbs same for tesla model 3 double it 4 c m 3 mine,1
1,great question i would ve paid the same amount for my own unit back but maybe mine had to go to hong kong to get put in a 2020 model 3,1
2,wish the model 3 had a nicer interior considering the price tag especially for the performance version,1
3,as a huge elon fan with an unreasonably high percentage of my net worth in tsla and a model 3 in the garage it would be massively appreciated if elon himself did not sometimes sound like lex luthor i guess true love has to test understandable i guess still will never sell,1
4,damn that sucks i wish that my model 3 had a framed window like all of my other cars have had in the past i guess a frameless window is more luxurious i m more of a fan of reliability worry some about window issues like you had plus door handle issues i still my model 3,1
5,i finally installed splash guards on my model 3 should have done this 2 years ago makes the car look complete what should i do next,1
6,if your selling all your possessions would it be possible to do a lil charity and help a dude out with a tesla model 3 p s if i were you i would live in an airstream and just migrate wherever your heart desires go check out the mountains or the dessert,1
7,once asked for a halt in ah when share price was going down the news was that they released a model 3 with cheaper material for the seats imagine they halted for that ah,1
8,if he didn t step in soon after the company was formed it wouldn t have made it to where it is the company has been able to survive without him since the model 3 ramp,1
9,i think its awesome the mma game at is rendered stupid as the cards shrink in size never should have changed the scoring model 3 years ago,1
10,tesla is kinda the same whether or not there model 3 is a good car or ever makes a profit it forced the entire auto industry to get busy on hybrids electrics sparked a massive resource mobilization across the industry that would not have otherwise happened,1
11,i think this is the main reason the etron has been successful i have a model 3 but would have bought an estate if available,1
12,in a hypothetical world where goes bk given their integrated model for charging what happens to all of the model 3 s that is offering for higher prices if there is no supported network what is the value to a consumer,1
13,if elon wasn t somewhat crazy telsa would be like nikola and probably bailed when it was producing the first gen roadster and again during the development of the model 3 instead you have a crazy guy that put everything he had into tesla and made it work,1
14,i m down for the model 3 if i had money money i ll go for the model x,1
15,i personally don t own a part of the reason why is i m 15 but don t you think it d be really cool if there was a racing simulator like idk real racing 3 on the model 3 game library,1
16,great but result would be more meaningful if we didn t know that bbc is anti unfortunately and not hyundai fault most of us do and so believe even more that the model 3 is better that s the price we all pay for liars like those at topgear etc,1
17,i do love the minimalist cabin of the tesla model 3 i just wish it was built out of nicer materials,1
18,you should have titled it there was an explosion in my tesla model 3 while i was driving and released it right before the earnings report,1
19,for the money i ve lost on puts i could have bought a model 3 lit it on fire and pushed it off a cliff just for fun,1
20,i think on an unlimited budget id put a model x p100d fully maxed out over a model 3 wanted to reply to this not the other tweet,1
21,exactly why they described as more than they did in first 2qs of model 3 production if it had been 5000 ys they would ve said nearly 2x the first 2qs,1
22,i ve been dreaming of owning a tesla for a long while i was just about at a point where i could afford it were it not for the pandemic i d probably be shopping for a model 3 right now then you go and say something so irresponsibly stupid i may have just changed my mind,1
23,i value my more than the model 3 but considering the outcome the damage to the model 3 would have been more expensive,1
24,your vw advertisement overlooks tesla s fsd and dissembles by describing autopilot as if that s the entirety of tesla s automation also the lowest priced model 3 is not close to id s,1
25,if i had a penny for every minute i spent manually testing my projects over the last 2 years i could buy a model 3 by now,1
26,i will have had my model 3 for two years on june 6 i have 60 124 trouble free kms my daily commute is less 10 kms but i drive across the country to vacation spots instead of flying now,1
